Text,Cats,Description,Ayah,Hadith,Quote,Other
جاهد نفسك قبل أن تنشغل بعيوب غيرك.,مجاهدة النفس,"إصلاح النفس مقدّم على نقد الآخرين. قبل أن تشير إلى خطأ غيرك، اسأل: هل أصلحت ما فيّ؟ تزكية القلب تبدأ بالمحاسبة اليومية.",قد أفلح من زكاها,,قال ابن القيم: جهاد النفس أصل كل جهاد.,
اعفُ عمّن ظلمك يرفعك الله.,العفو,"العفو ليس ضعفًا بل قوة داخلية. عندما تتنازل عن الانتقام، تتحرر من ثقل الكراهية وتكسب راحة لا تُشترى.",فمن عفا وأصلح فأجره على الله,,قال الشافعي: العفو عن الناس زكاة النفس.,
برّ والديك قبل أن تندم.,بر الوالدين وصلة الرحم,"لا تؤجل كلمة طيبة أو مساعدة بسيطة لوالديك. الزمن يمضي سريعًا، وبرّهما سبب للتوفيق في الدنيا.",وقضى ربك ألا تعبدوا إلا إياه وبالوالدين إحسانًا,,,
اختر صحبتك بعناية فهي طريقك.,الصحبة الصالحة,"الإنسان يتأثر بمن يجالس. اقترب ممن يعينك على الطاعة ويذكّرك إذا نسيت، وابتعد عمّن يهوّن المعصية.",الأخلاء يومئذ بعضهم لبعض عدو إلا المتقين,,المرء على دين خليله – رواه أبو داود,
أتقن عملك ولو كان بسيطًا.,إتقان العمل,"الإحسان لا يرتبط بحجم العمل بل بروحك فيه. راجع عملك قبل تسليمه، واجعل الجودة عادة لا استثناء.",,,إن الله يحب إذا عمل أحدكم عملاً أن يتقنه – رواه البيهقي,
اجعل للمال رسالة لا مجرد رقم.,المال والرزق,"المال وسيلة للخير، لا معيار قيمة. خصص جزءًا منه للصدقة، واجعل نيتك فيه نفعًا لا تفاخرًا.",وأنفقوا مما رزقناكم,,,
حافظ على وقتك فهو رأس مالك.,حفظ الوقت,"الوقت لا يُعوَّض. خطط ليومك، وحدد أولويات واضحة، وتجنب المشتتات التي تسرق عمرك دون أن تشعر.",والعصر إن الإنسان لفي خسر,,قال الحسن البصري: يا ابن آدم إنما أنت أيام.,
احفظ لسانك يحفظك.,حفظ اللسان,"كلمة واحدة قد تهدم علاقة أو تحفظها. اسأل قبل أن تتكلم: هل فيما سأقول خير؟ إن لم يكن، فالصمت عبادة.",,,من كان يؤمن بالله واليوم الآخر فليقل خيرًا أو ليصمت – رواه البخاري ومسلم,
اكظم غيظك يثبت قدرك.,كظم الغيظ,"عند الغضب، لا تتخذ قرارًا ولا تكتب رسالة. التمهل يمنع ندمًا طويلًا ويظهر قوة تحكمك في نفسك.",والكاظمين الغيظ والعافين عن الناس,,ليس الشديد بالصرعة إنما الشديد الذي يملك نفسه عند الغضب – رواه البخاري ومسلم,
التوبة لا تنتظر وقتًا أفضل.,التوبة,"لا تؤجل الرجوع إلى الله. البداية الآن خير من انتظار ظروف مثالية قد لا تأتي.",إن الله يحب التوابين,,قال ابن تيمية: ما ندم من استغفر.,
توكل بقلبك ولا تتكاسل بجوارحك.,التوكل على الله,"التوكل لا يعني ترك السعي. اعمل واجتهد، ثم سلّم النتائج لله بثقة ورضا.",ومن يتوكل على الله فهو حسبه,,,
إخلاصك سر قبولك.,إخلاص النية,"قد لا يراك الناس، لكن الله يرى قلبك. اجعل نيتك خالصة، فالإخلاص يحول العادة إلى عبادة.",,,إنما الأعمال بالنيات – رواه البخاري ومسلم,
حسن الخلق دعوة بلا كلمات.,مكارم الأخلاق,"أخلاقك قد تكون أقوى من أي خطاب. تعامل بلطف وعدل حتى مع من يختلف معك.",وإنك لعلى خلق عظيم,,أكمل المؤمنين إيمانًا أحسنهم خلقًا – رواه الترمذي,
تواضعك يجعلك أكبر في القلوب.,التواضع,"لا تُظهر تفوقك على الآخرين. التواضع يكسبك محبة الناس ورضا الله.",ولا تمش في الأرض مرحًا,,من تواضع لله رفعه – رواه مسلم,
الشكر يحمي النعمة من الزوال.,الشكر,"أظهر امتنانك عمليًا، لا بالكلام فقط. استخدم نعمك في الطاعة لتدوم وتزداد.",لئن شكرتم لأزيدنكم,,,
الصبر في الطاعة أعظم من الصبر على البلاء.,الصبر,"الثبات على الطاعة رغم المشقة دليل صدق الإيمان. استمر ولو ببطء، فالثبات أحب من الانقطاع.",,,,
الرفق يطفئ نار الخلاف.,الرفق,"في النقاشات، اختر كلمات هادئة. اللين يقرب القلوب ويمنع التصعيد.",,,إن الله رفيق يحب الرفق – رواه مسلم,
صلة الرحم تجلب السعة.,بر الوالدين وصلة الرحم,"بادر بالسؤال عن أقاربك ولو برسالة بسيطة. الصلة سبب للبركة في الرزق والعمر.",,,من أحب أن يبسط له في رزقه فليصل رحمه – رواه البخاري ومسلم,
